epoch	train_loss	train_acc	train_grad	valid_loss	valid_acc	test_loss	test_acc	best_epoch	best_valid_acc	best_test_acc
345	0.9392	0.63	1.6954	1.2361	0.501	1.2555	0.492	291	0.5165	0.4888
346	0.9524	0.626	1.7162	1.2213	0.5025	1.2406	0.4895	291	0.5165	0.4888
347	0.9429	0.6268	1.6932	1.2253	0.503	1.2264	0.4986	291	0.5165	0.4888
348	0.9367	0.6292	1.6516	1.2472	0.4944	1.1889	0.5136	291	0.5165	0.4888
349	0.9584	0.622	1.6769	1.2367	0.497	1.2349	0.4946	291	0.5165	0.4888
350	0.9518	0.6225	1.6959	1.201	0.5084	1.2357	0.4906	291	0.5165	0.4888
351	0.937	0.6313	1.6899	1.2111	0.5098	1.2075	0.5065	291	0.5165	0.4888
352	0.9395	0.6291	1.6776	1.2293	0.5018	1.2737	0.4848	291	0.5165	0.4888
353	0.9381	0.6295	1.7092	1.2207	0.5055	1.2428	0.4951	291	0.5165	0.4888
354	0.9447	0.6309	1.6685	1.2167	0.5055	1.214	0.503	291	0.5165	0.4888
355	0.9524	0.6235	1.6969	1.225	0.5011	1.2365	0.4981	291	0.5165	0.4888
356	0.9474	0.6275	1.638	1.2054	0.5072	1.2227	0.5	291	0.5165	0.4888
357	0.953	0.6271	1.6822	1.2326	0.4923	1.2456	0.4866	291	0.5165	0.4888
358	0.9394	0.6314	1.6442	1.2004	0.5086	1.2423	0.4899	291	0.5165	0.4888
359	0.9416	0.6278	1.7014	1.232	0.5022	1.2469	0.4924	291	0.5165	0.4888
360	0.9337	0.6299	1.6675	1.2222	0.5029	1.2347	0.5005	291	0.5165	0.4888
361	0.9537	0.6233	1.6721	1.2001	0.5061	1.2054	0.5089	291	0.5165	0.4888
362	0.9326	0.6329	1.6581	1.2482	0.4946	1.2328	0.5027	291	0.5165	0.4888
363	0.9401	0.6281	1.6863	1.2426	0.4947	1.229	0.4969	291	0.5165	0.4888
364	0.9492	0.6246	1.6867	1.2007	0.5075	1.2209	0.4978	291	0.5165	0.4888
365	0.9391	0.6299	1.7004	1.2375	0.4949	1.2531	0.4851	291	0.5165	0.4888
366	0.9203	0.6369	1.6759	1.2171	0.5075	1.2288	0.4997	291	0.5165	0.4888
367	0.9465	0.6268	1.7018	1.2374	0.493	1.2223	0.5	291	0.5165	0.4888
368	0.9241	0.6367	1.6757	1.2432	0.4934	1.2398	0.4937	291	0.5165	0.4888
369	0.9267	0.6343	1.6651	1.2318	0.4987	1.223	0.4992	291	0.5165	0.4888
370	0.9368	0.6297	1.6616	1.2336	0.5008	1.2606	0.4873	291	0.5165	0.4888
371	0.9458	0.6235	1.6765	1.2237	0.5039	1.2531	0.49	291	0.5165	0.4888
372	0.9395	0.6271	1.6568	1.2241	0.4974	1.231	0.4908	291	0.5165	0.4888
373	0.9376	0.6284	1.6671	1.2444	0.4967	1.2529	0.4889	291	0.5165	0.4888
374	0.9372	0.6303	1.6579	1.2225	0.503	1.2287	0.4974	291	0.5165	0.4888
375	0.9402	0.6278	1.6771	1.1868	0.5205	1.228	0.5007	375	0.5205	0.5007
0	1.606	0.2121	0.1471	1.584	0.2589	1.6108	0.2189	0	0.2589	0.2189
1	1.5768	0.2574	0.4011	1.5726	0.2666	1.6057	0.2397	1	0.2666	0.2397
0	1.606	0.2121	0.1471	1.584	0.2589	1.6108	0.2189	0	0.2589	0.2189
0	1.606	0.2121	0.1471	1.584	0.2589	1.6108	0.2189	0	0.2589	0.2189
1	1.5768	0.2574	0.4011	1.5726	0.2666	1.6057	0.2397	1	0.2666	0.2397
0	1.6096	0.1997	0.1483	1.6095	0.1987	1.6094	0.2042	0	0.1987	0.2042
1	1.6094	0.2035	0.1487	1.6096	0.1999	1.6095	0.201	1	0.1999	0.201
2	1.6094	0.2028	0.1499	1.6094	0.2051	1.6094	0.2023	2	0.2051	0.2023
3	1.6096	0.1991	0.147	1.6094	0.2034	1.6093	0.2026	2	0.2051	0.2023
0	1.6096	0.2002	0.1479	1.6095	0.199	1.6094	0.2043	0	0.199	0.2043
1	1.6094	0.2039	0.1475	1.6096	0.1997	1.6095	0.2012	1	0.1997	0.2012
2	1.6094	0.2026	0.1482	1.6094	0.2051	1.6094	0.2028	2	0.2051	0.2028
0	1.5928	0.2375	0.2125	1.5731	0.2665	1.5959	0.239	0	0.2665	0.239
0	1.6095	0.2017	0.1452	1.6097	0.1994	1.6095	0.2011	0	0.1994	0.2011
1	1.6096	0.2017	0.118	1.6093	0.2031	1.6095	0.2003	1	0.2031	0.2003
2	1.6093	0.2031	0.0952	1.609	0.2073	1.609	0.2106	2	0.2073	0.2106
3	1.6085	0.2091	0.1297	1.6073	0.216	1.6078	0.2185	3	0.216	0.2185
4	1.6024	0.2315	0.2213	1.5974	0.2442	1.6065	0.2287	4	0.2442	0.2287
5	1.5901	0.2502	0.4164	1.5816	0.2588	1.6099	0.2391	5	0.2588	0.2391
6	1.5756	0.2715	0.5678	1.5739	0.2752	1.6028	0.261	6	0.2752	0.261
7	1.5466	0.3004	0.7034	1.5728	0.2806	1.6015	0.2688	7	0.2806	0.2688
8	1.5477	0.3006	0.7438	1.5575	0.2888	1.5703	0.2941	8	0.2888	0.2941
9	1.5351	0.311	0.6155	1.565	0.2941	1.5825	0.2833	9	0.2941	0.2833
10	1.515	0.3262	0.6612	1.5621	0.293	1.553	0.3028	9	0.2941	0.2833
11	1.5134	0.3311	0.6696	1.5524	0.3055	1.5088	0.3265	11	0.3055	0.3265
